iter	Passed	Remaining
762	1366	424
763	1367	422
764	1370	421
765	1372	419
766	1374	417
767	1375	415
768	1376	413
769	1378	411
770	1379	409
771	1380	407
772	1381	405
773	1383	404
774	1385	402
775	1387	400
776	1390	399
777	1391	397
778	1393	395
779	1394	393
780	1396	391
781	1398	389
782	1400	388
783	1401	386
784	1403	384
785	1404	382
786	1406	380
787	1407	378
788	1408	376
789	1413	375
790	1415	373
791	1416	372
792	1419	370
793	1421	368
794	1422	366
795	1423	364
796	1425	363
797	1427	361
798	1428	359
799	1430	357
800	1431	355
801	1432	353
802	1433	351
803	1434	349
804	1437	348
805	1438	346
806	1439	344
807	1441	342
808	1442	340
809	1443	338
810	1444	336
811	1445	334
812	1447	332
813	1448	330
814	1449	328
815	1451	327
816	1453	325
817	1454	323
818	1455	321
819	1456	319
820	1458	317
821	1459	316
822	1460	314
823	1461	312
824	1462	310
825	1464	308
826	1466	306
827	1467	304
828	1468	303
829	1470	301
830	1471	299
831	1472	297
832	1473	295
833	1475	293
834	1476	291
835	1477	289
836	1479	288
837	1480	286
838	1481	284
839	1483	282
840	1484	280
841	1485	278
842	1486	276
843	1487	274
844	1488	273
845	1490	271
846	1491	269
847	1493	267
848	1494	265
849	1495	263
850	1497	262
851	1498	260
852	1499	258
853	1501	256
854	1502	254
855	1503	252
856	1506	251
857	1507	249
858	1509	247
859	1510	245
860	1511	244
861	1512	242
862	1514	240
863	1515	238
864	1516	236
865	1517	234
866	1518	232
867	1521	231
868	1522	229
869	1524	227
870	1525	225
871	1526	224
872	1527	222
873	1529	220
874	1530	218
875	1535	217
876	1538	215
877	1539	213
878	1541	212
879	1545	210
880	1549	209
881	1552	207
882	1554	205
883	1556	204
884	1557	202
885	1559	200
886	1564	199
887	1566	197
888	1567	195
889	1568	193
890	1570	192
891	1571	190
892	1573	188
893	1576	186
894	1578	185
895	1580	183
896	1581	181
897	1582	179
898	1587	178
899	1588	176
900	1591	174
901	1592	173
902	1599	171
903	1602	170
904	1605	168
905	1615	167
906	1619	166
907	1624	164
908	1627	162
909	1628	161
910	1629	159
911	1631	157
912	1636	155
913	1637	154
914	1639	152
915	1642	150
916	1644	148
917	1645	147
918	1648	145
919	1650	143
920	1651	141
921	1654	140
922	1656	138
923	1658	136
924	1662	134
925	1663	132
926	1665	131
927	1666	129
928	1668	127
929	1669	125
930	1670	123
931	1672	122
932	1676	120
933	1678	118
934	1682	116
935	1685	115
936	1690	113
937	1695	112
938	1698	110
939	1699	108
940	1701	106
941	1707	105
942	1710	103
943	1711	101
944	1721	100
945	1723	98
946	1724	96
947	1725	94
948	1738	93
949	1739	91
950	1740	89
951	1742	87
952	1747	86
953	1770	85
954	1774	83
955	1775	81
956	1780	79
957	1792	78
958	1795	76
959	1799	74
960	1810	73
961	1812	71
962	1814	69
963	1817	67
964	1826	66
965	1852	65
966	1880	64
967	1882	62
968	1883	60
969	1888	58
970	1890	56
971	1894	54
972	1897	52
973	1902	50
974	1905	48
975	1912	47
976	1914	45
977	1916	43
978	1918	41
979	1921	39
980	1925	37
981	1951	35
982	1954	33
983	1956	31
984	1957	29
985	1959	27
986	1961	25
987	1964	23
988	1966	21
989	1969	19
990	1971	17
991	1972	15
992	1974	13
993	1978	11
994	1981	9
995	1983	7
996	1985	5
997	1987	3
998	1991	1
999	1994	0
